date,symbol,open,close,volume,open_interest,first_notice,till_notice_cd,is_passed,Best_Vol,Best_Oi,B_V_3,auto_roll,Auto_Best_V,Forced_roll_V,Forced_Best_V,+2_Forced_Roll_V,+2_Forced_Best_V,auto_roll_hold,+1_auto_roll_hold,forced_roll_hold,f_r_h_Best_V,confirm_forced_roll_hold,Test_Hold,Test_Best_V
1989-05-15,ZC-1990N,270.5,270.75,18,738,1990-06-29,410,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-16,ZC-1989K,280.25,277.5,3310,4063,1989-04-28,-18,true,"","","",ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-16,ZC-1989N,275.5,271.5,28974,75967,1989-06-30,45,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-16,ZC-1989U,263.0,259.5,3507,17288,1989-08-31,107,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-16,ZC-1989Z,259.5,255.75,14751,58929,1989-11-30,198,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-16,ZC-1990H,265.25,262.5,648,7561,1990-02-28,288,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-16,ZC-1990K,268.0,264.0,90,1501,1990-04-30,349,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-16,ZC-1990N,269.0,265.5,62,793,1990-06-29,409,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-17,ZC-1989K,277.25,277.25,2298,2758,1989-04-28,-19,true,"","","",ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-17,ZC-1989N,271.0,270.5,22159,76015,1989-06-30,44,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
